Lieu	N° région, département	Série	Unité	2004	2008
HAUTE NORMANDIE	23	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
HAUTE NORMANDIE	23	RA08Etablissements de recherche (hors CEA)	nombre	5.0	11.0
HAUTE NORMANDIE	23	RA08Installations industrielles (hors production d'électricité)	nombre	3.0	4.0
HAUTE NORMANDIE	23	RA08Centres nucléaires de production d'électricité	nombre	2.0	2.0
HAUTE NORMANDIE	23	RA08Activités médicales	nombre	10.0	8.0
HAUTE NORMANDIE	23	RA08Etablissements de la défense nationale	nombre	2.0	2.0
HAUTE NORMANDIE	23	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
HAUTE NORMANDIE	23	RA08Amont du cycle du combustible	nombre	0.0	0.0
HAUTE NORMANDIE	23	RA08Aval du cycle du combustible	nombre	0.0	0.0
HAUTE NORMANDIE	23	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
HAUTE NORMANDIE	23	RA08Sites d'entreposage et stockage	nombre	0.0	2.0
HAUTE NORMANDIE	23	RA08Anciens sites assainis ou en cours d'assainissement	nombre	3.0	5.0
HAUTE NORMANDIE	23	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	22.0	29.0
ILE DE FRANCE	11	RA08Centres d'études et de recherche du CEA civil	nombre	5.0	4.0
ILE DE FRANCE	11	RA08Etablissements de recherche (hors CEA)	nombre	97.0	191.0
ILE DE FRANCE	11	RA08Installations industrielles (hors production d'électricité)	nombre	10.0	10.0
ILE DE FRANCE	11	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
ILE DE FRANCE	11	RA08Activités médicales	nombre	74.0	66.0
ILE DE FRANCE	11	RA08Etablissements de la défense nationale	nombre	16.0	11.0
ILE DE FRANCE	11	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
ILE DE FRANCE	11	RA08Amont du cycle du combustible	nombre	2.0	2.0
ILE DE FRANCE	11	RA08Aval du cycle du combustible	nombre	0.0	0.0
ILE DE FRANCE	11	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ILE DE FRANCE	11	RA08Sites d'entreposage et stockage	nombre	8.0	8.0
ILE DE FRANCE	11	RA08Anciens sites assainis ou en cours d'assainissement	nombre	21.0	31.0
ILE DE FRANCE	11	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	213.0	293.0
LANGUEDOC-ROUSSILLON	91	RA08Centres d'études et de recherche du CEA civil	nombre	4.0	4.0
LANGUEDOC-ROUSSILLON	91	RA08Etablissements de recherche (hors CEA)	nombre	24.0	31.0
LANGUEDOC-ROUSSILLON	91	RA08Installations industrielles (hors production d'électricité)	nombre	2.0	2.0
LANGUEDOC-ROUSSILLON	91	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
LANGUEDOC-ROUSSILLON	91	RA08Activités médicales	nombre	15.0	9.0
LANGUEDOC-ROUSSILLON	91	RA08Etablissements de la défense nationale	nombre	3.0	3.0
LANGUEDOC-ROUSSILLON	91	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
LANGUEDOC-ROUSSILLON	91	RA08Amont du cycle du combustible	nombre	4.0	4.0
LANGUEDOC-ROUSSILLON	91	RA08Aval du cycle du combustible	nombre	2.0	2.0
LANGUEDOC-ROUSSILLON	91	RA08Etablissements de traitements des déchets ou de maintenance	nombre	1.0	1.0
LANGUEDOC-ROUSSILLON	91	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
LANGUEDOC-ROUSSILLON	91	RA08Anciens sites assainis ou en cours d'assainissement	nombre	2.0	2.0
LANGUEDOC-ROUSSILLON	91	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	57.0	58.0
LIMOUSIN	74	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
LIMOUSIN	74	RA08Etablissements de recherche (hors CEA)	nombre	1.0	3.0
LIMOUSIN	74	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
LIMOUSIN	74	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
LIMOUSIN	74	RA08Activités médicales	nombre	2.0	2.0
LIMOUSIN	74	RA08Etablissements de la défense nationale	nombre	2.0	2.0
