Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
BRETAGNE	53	EA04Superficie du territoire considéré pour les précipitations	 km²	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94
BRETAGNE	53	EA04Volume des pluies efficaces	 Millions m3	9096.581	13621.033	14074.45	7963.666	12347.31	7178.113	13141.868	8045.953	10962.623	5082.356	9434.804	7443.396	7480.985	9999.392	14674.064	13474.324	6697.765	6628.57	12815.99	14105.273	15689.976	13618.893	11558.561	4869.042	8320.309	3229.801	ND	7014.719	10253.779	12139.239	10009.099	6232.281	11359.69
BRETAGNE	53	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94	27483.94
BRETAGNE	53	EA04Hauteur des précipitations totales	mm	879.0	1041.0	1121.0	833.0	1007.0	774.0	1076.0	867.0	938.0	677.0	851.0	812.0	860.0	937.0	1123.0	1048.0	765.0	814.0	1031.0	1125.0	1170.0	1060.0	1047.0	783.0	929.0	751.0	947.0	972.0	1056.0	1037.0	870.0	732.0	1039.0
BRETAGNE	53	EA04Hauteur des précipitations efficaces	mm	331.0	496.0	512.0	290.0	449.0	261.0	478.0	293.0	399.0	185.0	343.0	271.0	272.0	364.0	534.0	490.0	244.0	241.0	466.0	513.0	571.0	496.0	421.0	177.0	303.0	118.0	ND	ND	373.0	442.0	364.0	227.0	413.0
CENTRE	24	EA04Volume des précipitations totales	 Millions m3	27906.925	34769.107	30109.637	29422.418	32356.609	23150.857	28917.538	29361.638	30251.606	21855.106	22241.493	22589.574	27038.041	27642.619	34302.166	30259.418	24667.652	27056.062	28880.287	35607.396	33045.078	35341.38	30072.548	25200.112	28272.595	21966.241	29377.273	29247.704	29678.391	25391.026	26413.368	24565.645	30321.214
CENTRE	24	EA04Superficie du territoire considéré pour les précipitations	 km²	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188
CENTRE	24	EA04Volume des pluies efficaces	 Millions m3	7239.839	11107.555	8264.748	8007.004	6260.824	5435.575	7307.469	5139.298	9038.323	1320.774	2043.258	2685.282	3332.483	4659.172	8591.836	8602.705	5623.097	3269.652	7811.77	10016.041	8024.615	10546.84	5659.103	1837.408	5315.684	1999.906	ND	3270.763	6035.838	5003.261	5698.859	4975.176	7948.408
CENTRE	24	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188	39530.188
CENTRE	24	EA04Hauteur des précipitations totales	mm	706.0	880.0	762.0	744.0	819.0	586.0	732.0	743.0	765.0	553.0	563.0	571.0	684.0	699.0	868.0	765.0	624.0	684.0	731.0	901.0	836.0	894.0	761.0	637.0	715.0	556.0	743.0	740.0	751.0	642.0	668.0	621.0	767.0
CENTRE	24	EA04Hauteur des précipitations efficaces	mm	183.0	281.0	209.0	203.0	158.0	138.0	185.0	130.0	229.0	33.0	52.0	68.0	84.0	118.0	217.0	218.0	142.0	83.0	198.0	253.0	203.0	267.0	143.0	46.0	134.0	51.0	ND	ND	153.0	127.0	144.0	126.0	201.0
CHAMPAGNE-ARDENNE	21	EA04Volume des précipitations totales	 Millions m3	22041.692	27256.605	22763.291	21664.487	23018.238	17661.855	23514.269	23345.078	25527.306	18067.806	20939.302	17007.716	21527.81	21965.539	23216.987	24335.621	17700.796	20912.406	21641.704	25416.988	25793.348	28152.264	22056.113	15741.575	19697.075	17527.469	21974.664	21917.816	22457.168	19665.245	19679.437	18570.019	22828.484
CHAMPAGNE-ARDENNE	21	EA04Superficie du territoire considéré pour les précipitations	 km²	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281
