Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
CORSE	94	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	ND	430.0	304.0	172.0	161.0	43.0	138.0	59.0	23.0	32.0	19.0	32.0	46.0	28.0	10.0	3.0	13.0	69.0	60.0	159.0	220.0	81.0	86.0	153.0
CORSE	94	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	ND	67700.0	62700.0	77300.0	73000.0	75300.0	75900.0	88900.0	80200.0	88600.0	108559.0	98820.0	58958.0	141674.0	118544.0	135171.0	143067.0	130340.0	163544.0	141723.0	151956.0	ND	ND	ND
CORSE	94	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	ND	872.0	840.0	615.0	645.0	438.0	387.0	475.0	358.0	393.0	295.0	222.0	325.0	315.0	287.0	402.0	227.0	457.0	465.0	834.0	817.0	1499.0	1829.0	1289.0
CORSE	94	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	ND	1072.0	1103.0	1214.0	1197.0	1306.0	1269.0	1378.0	1451.0	1554.0	1489.0	1692.0	1591.0	1629.0	1660.0	1632.0	1643.0	1750.0	1955.0	2196.0	2389.0	2590.0	3007.0	2991.0
FRANCHE COMTE	43	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	157.0	180.0	111.0	109.0	65.0	60.0	36.0	23.0	7.0	12.0	4.0	5.0	26.0	9.0	27.0	60.0	30.0	63.0	115.0	165.0	140.0	133.0	138.0	90.0
FRANCHE COMTE	43	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	73200.0	78700.0	80300.0	71000.0	81400.0	88000.0	100000.0	95700.0	102400.0	137200.0	167655.0	105464.0	107628.0	116877.0	126984.0	106472.0	140761.0	136574.0	155516.0	163223.0	173141.0	ND	ND	183541.0
FRANCHE COMTE	43	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	670.0	453.0	521.0	492.0	659.0	535.0	627.0	519.0	484.0	810.0	579.0	636.0	566.0	639.0	775.0	532.0	562.0	760.0	999.0	1045.0	996.0	1118.0	1240.0	629.0
FRANCHE COMTE	43	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	989.0	942.0	1016.0	1073.0	1141.0	1205.0	1294.0	1320.0	1313.0	1455.0	1419.0	1346.0	1370.0	1393.0	1416.0	1422.0	1511.0	1651.0	1827.0	2000.0	2160.0	2354.0	2375.0	2381.0
HAUTE NORMANDIE	23	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	539.0	490.0	382.0	281.0	241.0	188.0	77.0	40.0	89.0	126.0	103.0	89.0	137.0	64.0	90.0	61.0	102.0	114.0	100.0	161.0	389.0	220.0	254.0	178.0
HAUTE NORMANDIE	23	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	77600.0	79700.0	81100.0	82500.0	88900.0	84200.0	82200.0	103800.0	99500.0	108800.0	130940.0	134143.0	118144.0	137520.0	110979.0	143379.0	161675.0	159253.0	153053.0	160344.0	161717.0	189673.0	229545.0	205956.0
HAUTE NORMANDIE	23	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	456.0	580.0	588.0	585.0	577.0	759.0	695.0	652.0	912.0	1001.0	720.0	626.0	1075.0	1358.0	1136.0	847.0	1095.0	960.0	1225.0	1575.0	1950.0	1777.0	2787.0	974.0
HAUTE NORMANDIE	23	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1003.0	1046.0	1074.0	1217.0	1258.0	1379.0	1525.0	1540.0	1596.0	1608.0	1604.0	1632.0	1673.0	1674.0	1720.0	1786.0	1806.0	1810.0	1988.0	2066.0	2309.0	2623.0	2821.0	2910.0
ILE DE FRANCE	11	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	5579.0	4197.0	4760.0	5972.0	5845.0	4511.0	2884.0	2014.0	2304.0	2121.0	2662.0	2461.0	2897.0	3225.0	3249.0	3017.0	2939.0	2804.0	3320.0	2720.0	3093.0	2868.0	2385.0	1736.0
ILE DE FRANCE	11	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	103400.0	112500.0	121700.0	143300.0	160100.0	180700.0	216500.0	221400.0	210700.0	185100.0	167048.0	169726.0	161032.0	164624.0	183150.0	215239.0	228881.0	236246.0	242370.0	280441.0	323308.0	349679.0	355736.0	359080.0
ILE DE FRANCE	11	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	7702.0	5706.0	6875.0	8747.0	12559.0	11905.0	7540.0	6698.0	8719.0	10577.0	12214.0	16694.0	17456.0	22064.0	21480.0	16765.0	16417.0	16431.0	18464.0	19068.0	18263.0	17278.0	18480.0	12472.0
ILE DE FRANCE	11	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1421.0	1380.0	1613.0	2084.0	2411.0	2908.0	3326.0	3311.0	2872.0	2600.0	2424.0	2380.0	2411.0	2518.0	2611.0	2671.0	2821.0	2991.0	2995.0	3213.0	3690.0	4134.0	4133.0	4156.0
LANGUEDOC-ROUSSILLON	91	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	1753.0	1851.0	2114.0	2453.0	2790.0	2290.0	1966.0	1308.0	1502.0	1640.0	1720.0	1511.0	1126.0	1286.0	2092.0	984.0	1543.0	1502.0	1575.0	1387.0	1166.0	1560.0	1425.0	1061.0
LANGUEDOC-ROUSSILLON	91	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	58200.0	54400.0	49900.0	49500.0	49900.0	56600.0	58800.0	60100.0	63000.0	63700.0	57100.0	61224.0	69541.0	74034.0	80556.0	91974.0	104098.0	125084.0	152670.0	197319.0	196663.0	209188.0	227152.0	207198.0
LANGUEDOC-ROUSSILLON	91	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	4400.0	3543.0	3987.0	5154.0	4456.0	4693.0	3961.0	2483.0	3767.0	3708.0	3097.0	3098.0	2713.0	3416.0	4335.0	3138.0	3868.0	4062.0	4391.0	5184.0	6852.0	7536.0	7702.0	5299.0
LANGUEDOC-ROUSSILLON	91	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1289.0	1256.0	1280.0	1314.0	1274.0	1374.0	1429.0	1451.0	1515.0	1508.0	1567.0	1584.0	1596.0	1602.0	1657.0	1630.0	1747.0	1971.0	2162.0	2332.0	2716.0	2898.0	3154.0	3207.0
