Lieu	N° région, département	Série	Unité	2005	2006	2007	2008	2009	2010	2011	2012
LIMOUSIN	74	AI20Emissions de CO2 déclarées	 tonnes de CO2	266057.0	253871.0	239984.0	229484.0	284235.0	ND	ND	ND
LIMOUSIN	74	AI20Quotas de CO2 restitués	 tonnes de CO2	266058.0	253872.0	239984.0	229484.0	284235.0	ND	ND	ND
LORRAINE	41	AI20Nombre d'installations avec affectation de quotas	 Nombre	76.0	77.0	77.0	72.0	71.0	70.0	70.0	70.0
LORRAINE	41	AI20Total des quotas de CO2 affectés	tonnes de CO2	2.2037192E7	2.6858364E7	2.6858358E7	1.8619519E7	1.8416677E7	1.8336409E7	1.8336409E7	1.8336409E7
LORRAINE	41	AI20Emissions de CO2 déclarées	 tonnes de CO2	1.9929072E7	1.9477079E7	1.9098968E7	1.8410085E7	1.3654272E7	ND	ND	ND
LORRAINE	41	AI20Quotas de CO2 restitués	 tonnes de CO2	1.9929076E7	1.9477189E7	1.9098972E7	1.8385352E7	1.366374E7	ND	ND	ND
MIDI-PYRENEES	73	AI20Nombre d'installations avec affectation de quotas	 Nombre	33.0	33.0	33.0	32.0	31.0	31.0	31.0	31.0
MIDI-PYRENEES	73	AI20Total des quotas de CO2 affectés	tonnes de CO2	1883575.0	1883575.0	1883574.0	1271307.0	1257589.0	1257589.0	1257589.0	1257589.0
MIDI-PYRENEES	73	AI20Emissions de CO2 déclarées	 tonnes de CO2	1624733.0	1398775.0	1192264.0	1147166.0	1043244.0	ND	ND	ND
MIDI-PYRENEES	73	AI20Quotas de CO2 restitués	 tonnes de CO2	1641269.0	1398773.0	1175733.0	1136820.0	1011343.0	ND	ND	ND
NORD-PAS-DE-CALAIS	31	AI20Nombre d'installations avec affectation de quotas	 Nombre	115.0	115.0	115.0	104.0	103.0	103.0	103.0	103.0
NORD-PAS-DE-CALAIS	31	AI20Total des quotas de CO2 affectés	tonnes de CO2	2.5417394E7	2.4951523E7	2.4951517E7	2.2612785E7	2.2606492E7	2.2606673E7	2.2606673E7	2.2606673E7
NORD-PAS-DE-CALAIS	31	AI20Emissions de CO2 déclarées	 tonnes de CO2	2.263009E7	2.1626008E7	2.1938584E7	2.1433066E7	1.908554E7	ND	ND	ND
NORD-PAS-DE-CALAIS	31	AI20Quotas de CO2 restitués	 tonnes de CO2	2.2731269E7	2.156065E7	2.1960556E7	2.1433068E7	1.9060241E7	ND	ND	ND
PAYS DE LA LOIRE	52	AI20Nombre d'installations avec affectation de quotas	 Nombre	52.0	53.0	53.0	51.0	47.0	47.0	47.0	47.0
PAYS DE LA LOIRE	52	AI20Total des quotas de CO2 affectés	tonnes de CO2	1.0257908E7	1.0313907E7	1.0313901E7	8232245.0	8172983.0	8129767.0	8129767.0	8129767.0
PAYS DE LA LOIRE	52	AI20Emissions de CO2 déclarées	 tonnes de CO2	8808390.0	8299266.0	8256877.0	7447946.0	8263772.0	ND	ND	ND
PAYS DE LA LOIRE	52	AI20Quotas de CO2 restitués	 tonnes de CO2	8808392.0	8299267.0	8302271.0	7447947.0	8263771.0	ND	ND	ND
PICARDIE	22	AI20Nombre d'installations avec affectation de quotas	 Nombre	61.0	62.0	63.0	56.0	52.0	52.0	52.0	52.0
PICARDIE	22	AI20Total des quotas de CO2 affectés	tonnes de CO2	3457736.0	3457736.0	3545352.0	2761181.0	2665671.0	2740468.0	2740468.0	2740468.0
PICARDIE	22	AI20Emissions de CO2 déclarées	 tonnes de CO2	2527831.0	2454463.0	2425253.0	2122533.0	1925126.0	ND	ND	ND
PICARDIE	22	AI20Quotas de CO2 restitués	 tonnes de CO2	2542157.0	2440144.0	2425246.0	2122533.0	1925125.0	ND	ND	ND
POITOU-CHARENTES	54	AI20Nombre d'installations avec affectation de quotas	 Nombre	21.0	21.0	21.0	19.0	18.0	18.0	18.0	18.0
POITOU-CHARENTES	54	AI20Total des quotas de CO2 affectés	tonnes de CO2	2509648.0	2509648.0	2509650.0	2628101.0	2626813.0	2630925.0	2630925.0	2630925.0
POITOU-CHARENTES	54	AI20Emissions de CO2 déclarées	 tonnes de CO2	2567040.0	2497558.0	2457193.0	2338720.0	2145656.0	ND	ND	ND
POITOU-CHARENTES	54	AI20Quotas de CO2 restitués	 tonnes de CO2	2567041.0	2497559.0	2457192.0	2338720.0	2145657.0	ND	ND	ND
PROVENCE-ALPES-COTE D AZUR	93	AI20Nombre d'installations avec affectation de quotas	 Nombre	55.0	55.0	55.0	51.0	51.0	52.0	52.0	52.0
PROVENCE-ALPES-COTE D AZUR	93	AI20Total des quotas de CO2 affectés	tonnes de CO2	2.45448E7	2.45448E7	2.4544802E7	2.1947646E7	2.1889137E7	2.2740317E7	2.2740317E7	2.2740317E7
PROVENCE-ALPES-COTE D AZUR	93	AI20Emissions de CO2 déclarées	 tonnes de CO2	2.2441012E7	2.2105056E7	2.0665528E7	2.0652004E7	1.8161326E7	ND	ND	ND
PROVENCE-ALPES-COTE D AZUR	93	AI20Quotas de CO2 restitués	 tonnes de CO2	2.2441015E7	2.2202714E7	2.0643391E7	2.0652008E7	1.817239E7	ND	ND	ND
RHONE-ALPES	82	AI20Nombre d'installations avec affectation de quotas	 Nombre	108.0	108.0	107.0	99.0	96.0	95.0	95.0	95.0
RHONE-ALPES	82	AI20Total des quotas de CO2 affectés	tonnes de CO2	8539590.0	8539590.0	8529142.0	7712077.0	7677998.0	7658326.0	7658326.0	7658326.0
RHONE-ALPES	82	AI20Emissions de CO2 déclarées	 tonnes de CO2	7481463.0	7493849.0	7104506.0	7064199.0	6485860.0	ND	ND	ND
RHONE-ALPES	82	AI20Quotas de CO2 restitués	 tonnes de CO2	7486076.0	7498854.0	7148955.0	7044877.0	6485762.0	ND	ND	ND
Producteur : Caisse des dépots et consignations.
Source .
