Lieu	N° région, département	Série	Unité	2004	2008
AUDE	11	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
AUDE	11	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
AUDE	11	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	5.0	2.0
AVEYRON	12	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AVEYRON	12	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
AVEYRON	12	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
AVEYRON	12	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
AVEYRON	12	RA08Activités médicales	nombre	1.0	1.0
AVEYRON	12	RA08Etablissements de la défense nationale	nombre	0.0	0.0
AVEYRON	12	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AVEYRON	12	RA08Amont du cycle du combustible	nombre	1.0	1.0
AVEYRON	12	RA08Aval du cycle du combustible	nombre	0.0	0.0
AVEYRON	12	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AVEYRON	12	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
AVEYRON	12	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
AVEYRON	12	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	2.0	2.0
BAS-RHIN	67	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
BAS-RHIN	67	RA08Etablissements de recherche (hors CEA)	nombre	27.0	32.0
BAS-RHIN	67	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	2.0
BAS-RHIN	67	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
BAS-RHIN	67	RA08Activités médicales	nombre	4.0	5.0
BAS-RHIN	67	RA08Etablissements de la défense nationale	nombre	1.0	0.0
BAS-RHIN	67	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
BAS-RHIN	67	RA08Amont du cycle du combustible	nombre	0.0	0.0
BAS-RHIN	67	RA08Aval du cycle du combustible	nombre	0.0	0.0
BAS-RHIN	67	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
BAS-RHIN	67	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
BAS-RHIN	67	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
BAS-RHIN	67	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	32.0	39.0
BOUCHES-DU-RHONE	13	RA08Centres d'études et de recherche du CEA civil	nombre	2.0	2.0
BOUCHES-DU-RHONE	13	RA08Etablissements de recherche (hors CEA)	nombre	13.0	22.0
